objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
CBXXTnxSQh,MOOSPMPSParser,1657843381,1.74,1.74,1.52,2.18,0.36,1.61,1.61,2.34,0.37,1.61,528.71,148.15,318.97,9.95,12.12,0.42,12.15,12.16,0.25,0.13,12.16,0.44,32.3,29.8,33.927,42,e00fce6856818e5885f65487,2022-07-15 00:03:03.170000+00:00,2022-07-15T00:03:03.422Z,2022-07-15T00:03:03.422Z
HZWd1XSy8R,MOOSPMPSParser,1657843500,1.24,1.24,1.07,2.06,0.24,1.13,1.13,2.21,0.24,1.13,427.57,114.91,3912.56,16.07,8.53,1.48,8.55,8.55,0.26,0.08,8.56,0.41,32.1,30.8,44.056,42,e00fce68f8f5a1da595c7249,2022-07-15 00:05:02.523000+00:00,2022-07-15T00:05:02.735Z,2022-07-15T00:05:02.735Z
SukgQEZy0A,MOOSPMPSParser,1657843560,0.96,0.96,1.16,1.45,0.14,1.22,1.22,1.54,0.14,1.22,540.88,141.4,4139.46,13.25,9.2,0.33,9.22,9.22,0.12,0.0,9.23,0.4,32.7,30.4,22.501,42,e00fce6835b6173deb1a1f49,2022-07-15 00:06:02.201000+00:00,2022-07-15T00:06:02.482Z,2022-07-15T00:06:02.482Z
ARSEElHhM3,MOOSPMPSParser,1657843981,2.02,2.02,1.19,2.41,0.24,1.26,1.26,2.48,0.25,1.26,559.41,154.06,405.56,9.81,9.46,0.27,9.49,9.49,0.04,0.04,9.49,0.42,31.8,30.0,30.385,42,e00fce6856818e5885f65487,2022-07-15 00:13:03.267000+00:00,2022-07-15T00:13:03.594Z,2022-07-15T00:13:03.594Z
0fv8YnelpA,MOOSPMPSParser,1657844100,1.17,1.17,0.94,2.01,0.18,1.0,1.0,2.41,0.24,1.0,397.57,109.93,3981.94,17.19,7.5,1.28,7.52,7.52,0.68,0.33,7.52,0.43,31.7,30.0,41.375,42,e00fce68f8f5a1da595c7249,2022-07-15 00:15:02.638000+00:00,2022-07-15T00:15:02.852Z,2022-07-15T00:15:02.852Z
oYA0P16czh,MOOSPMPSParser,1657844160,0.81,0.81,0.95,1.3,0.12,1.0,1.0,1.36,0.14,1.0,529.06,135.64,4214.17,12.04,7.54,0.36,7.56,7.56,0.14,0.05,7.56,0.42,32.2,29.3,23.613,42,e00fce6835b6173deb1a1f49,2022-07-15 00:16:02.196000+00:00,2022-07-15T00:16:02.406Z,2022-07-15T00:16:02.406Z
6d7ym62mWn,MOOSPMPSParser,1657844581,2.18,2.18,1.53,2.55,0.46,1.62,1.62,2.7,0.48,1.62,589.84,162.05,496.21,10.32,12.18,0.32,12.21,12.22,0.1,0.04,12.22,0.44,32.1,30.9,32.595,42,e00fce6856818e5885f65487,2022-07-15 00:23:03.035000+00:00,2022-07-15T00:23:03.269Z,2022-07-15T00:23:03.269Z
mBMvtvWRAD,MOOSPMPSParser,1657844700,1.43,1.43,1.21,2.43,0.27,1.28,1.28,2.7,0.27,1.28,473.85,129.4,4062.93,19.8,9.65,1.21,9.68,9.68,0.43,0.09,9.68,0.43,32.2,30.5,41.728,42,e00fce68f8f5a1da595c7249,2022-07-15 00:25:02.667000+00:00,2022-07-15T00:25:02.871Z,2022-07-15T00:25:02.871Z
QenDVEQJps,MOOSPMPSParser,1657844760,0.96,0.96,0.97,1.41,0.07,1.02,1.02,1.49,0.07,1.02,570.34,144.79,4294.26,12.18,7.72,0.48,7.73,7.74,0.08,0.08,7.74,0.45,32.8,29.9,14.745,42,e00fce6835b6173deb1a1f49,2022-07-15 00:26:02.192000+00:00,2022-07-15T00:26:02.391Z,2022-07-15T00:26:02.391Z
tUTeiOIWgu,MOOSPMPSParser,1657845181,2.13,2.13,1.19,2.67,0.17,1.26,1.26,2.88,0.2,1.26,795.54,175.09,591.93,12.65,9.46,0.54,9.48,9.48,0.2,0.14,9.49,0.42,32.6,30.4,30.631,42,e00fce6856818e5885f65487,2022-07-15 00:33:03.019000+00:00,2022-07-15T00:33:03.238Z,2022-07-15T00:33:03.238Z
Du3BZB58nQ,MOOSPMPSParser,1657845300,1.28,1.28,1.12,2.17,0.18,1.18,1.18,2.32,0.23,1.18,420.22,114.3,4138.55,16.85,8.89,1.37,8.92,8.92,0.27,0.0,8.92,0.43,32.2,32.3,43.229,42,e00fce68f8f5a1da595c7249,2022-07-15 00:35:02.536000+00:00,2022-07-15T00:35:02.815Z,2022-07-15T00:35:02.815Z
GevQWA6hJB,MOOSPMPSParser,1657845360,0.88,0.88,1.14,1.35,0.11,1.21,1.21,1.51,0.14,1.21,524.21,135.77,4381.62,13.15,9.07,0.57,9.09,9.1,0.26,0.12,9.1,0.44,33.2,30.7,20.021,42,e00fce6835b6173deb1a1f49,2022-07-15 00:36:02.196000+00:00,2022-07-15T00:36:02.397Z,2022-07-15T00:36:02.397Z
6uO802EQ6H,MOOSPMPSParser,1657845781,1.85,1.85,1.24,2.14,0.23,1.31,1.31,2.19,0.24,1.31,539.47,147.06,683.34,9.19,9.84,0.14,9.86,9.86,0.05,0.05,9.87,0.46,32.4,29.9,31.382,42,e00fce6856818e5885f65487,2022-07-15 00:43:03.070000+00:00,2022-07-15T00:43:03.261Z,2022-07-15T00:43:03.261Z
3cF0J7oLoo,MOOSPMPSParser,1657845900,1.32,1.32,1.03,2.05,0.2,1.09,1.09,2.51,0.2,1.09,418.36,112.11,4214.51,15.96,8.2,1.31,8.23,8.23,0.77,0.18,8.23,0.42,31.9,31.0,42.471,42,e00fce68f8f5a1da595c7249,2022-07-15 00:45:02.602000+00:00,2022-07-15T00:45:02.866Z,2022-07-15T00:45:02.866Z
h0qKwWBZfy,MOOSPMPSParser,1657845960,0.81,0.81,0.99,1.31,0.08,1.05,1.05,1.41,0.1,1.05,525.62,134.74,4464.5,14.62,7.87,0.52,7.89,7.89,0.12,0.0,7.9,0.44,32.7,30.2,23.367,42,e00fce6835b6173deb1a1f49,2022-07-15 00:46:02.188000+00:00,2022-07-15T00:46:02.435Z,2022-07-15T00:46:02.435Z
ASJK4tM8ZU,MOOSPMPSParser,1657846381,1.67,1.67,1.3,1.99,0.15,1.37,1.37,2.13,0.17,1.37,489.02,136.25,767.09,9.45,10.32,0.32,10.35,10.35,0.15,0.13,10.35,0.45,32.0,30.8,34.316,42,e00fce6856818e5885f65487,2022-07-15 00:53:03.092000+00:00,2022-07-15T00:53:03.352Z,2022-07-15T00:53:03.352Z
rMyZeeFFeH,MOOSPMPSParser,1657846500,1.0,1.0,0.97,1.63,0.18,1.03,1.03,1.89,0.25,1.03,397.05,107.63,4284.42,14.41,7.71,1.03,7.74,7.74,0.34,0.26,7.74,0.41,32.1,31.7,45.103,42,e00fce68f8f5a1da595c7249,2022-07-15 00:55:02.552000+00:00,2022-07-15T00:55:02.787Z,2022-07-15T00:55:02.787Z
IpeX7CsFw7,MOOSPMPSParser,1657846560,0.7,0.7,1.03,1.06,0.14,1.09,1.09,1.11,0.14,1.09,482.24,124.23,4540.13,10.23,8.19,0.47,8.21,8.21,0.05,0.05,8.21,0.42,32.6,31.4,25.825,42,e00fce6835b6173deb1a1f49,2022-07-15 00:56:02.188000+00:00,2022-07-15T00:56:02.446Z,2022-07-15T00:56:02.446Z
