objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
IAbhoyD9rJ,MOOSPMPSParser,1687046640,5.49,5.49,3.14,6.81,6.81,3.32,3.32,7.22,7.22,3.32,1128.82,324.21,2145881.75,31.01,25.03,1.48,25.09,25.1,0.37,0.21,25.11,0.45,35.6,25.0,51.381,42,e00fce68a145996ae3d821b8,2023-06-18 00:03:59.779000+00:00,2023-06-18T00:03:59.950Z,2023-06-18T00:03:59.950Z
By1bKGDTig,MOOSPMPSParser,1687046820,4.81,4.81,3.04,6.51,6.51,3.22,3.22,6.93,6.93,3.22,1272.69,330.11,9875.75,43.87,24.23,2.45,24.29,24.29,0.42,0.26,24.3,0.42,36.6,27.4,58.26,42,e00fce68f8f5a1da595c7249,2023-06-18 00:07:02.259000+00:00,2023-06-18T00:07:02.516Z,2023-06-18T00:07:02.516Z
Oh81VTyOEL,MOOSPMPSParser,1687047240,5.45,5.45,3.34,6.65,6.65,3.53,3.53,7.21,7.21,3.53,1129.26,320.39,2146126.0,30.51,26.59,1.61,26.66,26.66,0.57,0.35,26.67,0.43,35.5,26.4,52.31,42,e00fce68a145996ae3d821b8,2023-06-18 00:13:59.948000+00:00,2023-06-18T00:14:00.146Z,2023-06-18T00:14:00.146Z
Qz8gPHZ62E,MOOSPMPSParser,1687047420,4.49,4.49,2.74,5.86,5.86,2.9,2.9,6.26,6.26,2.9,1216.12,311.51,10076.88,38.73,21.84,1.65,21.9,21.9,0.47,0.35,21.91,0.43,36.5,26.1,59.046,42,e00fce68f8f5a1da595c7249,2023-06-18 00:17:02.499000+00:00,2023-06-18T00:17:02.708Z,2023-06-18T00:17:02.708Z
kef5hGpq6m,MOOSPMPSParser,1687047840,5.2,5.2,3.41,6.22,6.22,3.61,3.61,6.62,6.62,3.61,1080.08,305.12,2146363.25,27.82,27.16,1.19,27.22,27.23,0.39,0.26,27.24,0.46,35.7,25.4,45.119,42,e00fce68a145996ae3d821b8,2023-06-18 00:23:59.751000+00:00,2023-06-18T00:23:59.931Z,2023-06-18T00:23:59.931Z
GcfjxgwPFq,MOOSPMPSParser,1687048020,4.24,4.24,2.71,5.68,5.68,2.87,2.87,6.05,6.05,2.87,1182.43,303.09,10288.53,38.79,21.6,1.52,21.66,21.66,0.52,0.12,21.67,0.44,36.3,25.3,59.929,42,e00fce68f8f5a1da595c7249,2023-06-18 00:27:02.337000+00:00,2023-06-18T00:27:02.560Z,2023-06-18T00:27:02.560Z
hyY2qrji3H,MOOSPMPSParser,1687048440,5.42,5.42,3.35,6.54,6.54,3.55,3.55,6.94,6.94,3.55,1103.27,316.23,2146597.25,28.19,26.7,0.96,26.77,26.77,0.4,0.22,26.78,0.43,35.6,26.1,50.909,42,e00fce68a145996ae3d821b8,2023-06-18 00:33:59.908000+00:00,2023-06-18T00:34:00.131Z,2023-06-18T00:34:00.131Z
4ZQJ5l5JhE,MOOSPMPSParser,1687048620,3.38,3.38,2.48,4.78,4.78,2.63,2.63,5.1,5.1,2.63,1015.57,264.32,10480.72,35.91,19.77,1.84,19.82,19.82,0.34,0.17,19.83,0.45,36.2,28.3,59.308,42,e00fce68f8f5a1da595c7249,2023-06-18 00:37:02.340000+00:00,2023-06-18T00:37:02.545Z,2023-06-18T00:37:02.545Z
WtzwBkKbyu,MOOSPMPSParser,1687049040,5.03,5.03,3.08,6.23,6.23,3.26,3.26,6.8,6.8,3.26,1058.03,304.04,2146826.0,29.54,24.51,1.35,24.58,24.58,0.62,0.39,24.59,0.47,35.7,24.7,50.555,42,e00fce68a145996ae3d821b8,2023-06-18 00:43:59.701000+00:00,2023-06-18T00:43:59.893Z,2023-06-18T00:43:59.893Z
VERGryDklj,MOOSPMPSParser,1687049220,3.15,3.15,3.07,4.69,4.69,3.24,3.24,5.37,5.37,3.24,995.76,260.05,10685.14,37.14,24.4,2.58,24.46,24.47,0.97,0.35,24.47,0.46,36.4,26.4,57.948,42,e00fce68f8f5a1da595c7249,2023-06-18 00:47:02.347000+00:00,2023-06-18T00:47:02.531Z,2023-06-18T00:47:02.531Z
7wKe1AibD8,MOOSPMPSParser,1687049640,4.94,4.94,3.14,6.11,6.11,3.32,3.32,6.78,6.78,3.32,1051.72,302.44,2147060.5,28.78,24.96,1.7,25.02,25.03,0.69,0.39,25.04,0.45,35.6,23.5,50.581,42,e00fce68a145996ae3d821b8,2023-06-18 00:53:59.928000+00:00,2023-06-18T00:54:00.125Z,2023-06-18T00:54:00.125Z
pv39NwZFpr,MOOSPMPSParser,1687049820,3.24,3.24,2.96,4.67,4.67,3.13,3.13,5.39,5.39,3.13,1011.07,260.5,10882.17,33.44,23.56,2.55,23.62,23.62,0.92,0.53,23.63,0.45,36.0,27.0,58.575,42,e00fce68f8f5a1da595c7249,2023-06-18 00:57:02.486000+00:00,2023-06-18T00:57:02.685Z,2023-06-18T00:57:02.685Z
