objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
aUT3skvgaE,MOOSPMPSParser,1682557320,3.37,3.37,2.15,4.37,4.37,2.47,2.63,5.39,5.39,2.71,1101.09,276.61,3993.02,24.63,16.93,2.87,17.17,17.2,1.48,0.74,17.21,0.52,30.9,28.7,53.631,42,e00fce68f8f5a1da595c7249,2023-04-27 01:02:02.671000+00:00,2023-04-27T01:02:02.849Z,2023-04-27T01:02:02.849Z
aIJ4mLgp2V,MOOSPMPSParser,1682557561,4.43,4.43,3.03,5.38,5.38,3.3,3.38,6.12,6.12,3.42,1013.68,284.58,37881.51,22.56,23.98,1.92,24.14,24.16,0.66,0.37,24.17,0.52,30.6,28.8,47.736,42,e00fce68a145996ae3d821b8,2023-04-27 01:06:01.057000+00:00,2023-04-27T01:06:01.234Z,2023-04-27T01:06:01.234Z
lBZRfSjEP7,MOOSPMPSParser,1682557920,3.32,3.32,2.93,4.86,4.86,3.31,3.49,6.05,6.05,3.58,1080.88,276.44,4172.99,32.6,23.09,3.77,23.36,23.4,1.45,1.05,23.41,0.55,30.8,30.7,50.526,42,e00fce68f8f5a1da595c7249,2023-04-27 01:12:02.730000+00:00,2023-04-27T01:12:02.938Z,2023-04-27T01:12:02.938Z
K8w2MCAaqJ,MOOSPMPSParser,1682558161,4.69,4.69,2.66,5.68,5.68,3.05,3.24,6.18,6.18,3.34,1029.31,289.7,38065.2,23.86,20.93,1.5,21.22,21.26,0.48,0.35,21.26,0.54,30.6,28.8,47.112,42,e00fce68a145996ae3d821b8,2023-04-27 01:16:00.886000+00:00,2023-04-27T01:16:01.157Z,2023-04-27T01:16:01.157Z
JmxOgvDFoF,MOOSPMPSParser,1682558520,2.96,2.96,2.5,4.34,4.34,2.86,3.05,4.97,4.97,3.14,1033.72,261.64,4352.34,30.48,19.61,2.16,19.88,19.92,0.87,0.37,19.93,0.51,30.5,30.4,51.077,42,e00fce68f8f5a1da595c7249,2023-04-27 01:22:02.559000+00:00,2023-04-27T01:22:02.776Z,2023-04-27T01:22:02.776Z
DBAvBx8WTC,MOOSPMPSParser,1682558761,4.32,4.32,2.82,5.32,5.32,3.29,3.54,5.94,5.94,3.67,997.68,278.32,38248.79,22.84,22.09,1.52,22.45,22.5,0.73,0.49,22.51,0.54,30.3,29.4,46.909,42,e00fce68a145996ae3d821b8,2023-04-27 01:26:00.965000+00:00,2023-04-27T01:26:01.196Z,2023-04-27T01:26:01.196Z
wFCGlQo0fo,MOOSPMPSParser,1682559120,2.76,2.76,2.41,3.95,3.95,2.7,2.83,4.81,4.81,2.89,985.23,243.61,4518.14,25.21,19.03,3.24,19.23,19.25,1.24,0.57,19.26,0.53,30.2,32.1,50.376,42,e00fce68f8f5a1da595c7249,2023-04-27 01:32:02.488000+00:00,2023-04-27T01:32:02.688Z,2023-04-27T01:32:02.688Z
qUGBgZcU9l,MOOSPMPSParser,1682559361,5.09,5.09,2.84,6.15,6.15,3.1,3.19,6.83,6.83,3.23,1129.3,318.24,38455.57,25.43,22.5,1.7,22.66,22.68,0.74,0.4,22.68,0.52,29.9,30.8,44.89,42,e00fce68a145996ae3d821b8,2023-04-27 01:36:00.899000+00:00,2023-04-27T01:36:01.139Z,2023-04-27T01:36:01.139Z
L9GV4q41v2,MOOSPMPSParser,1682559720,2.61,2.61,2.09,3.78,3.78,2.32,2.4,4.63,4.63,2.45,932.31,239.43,4673.8,26.76,16.52,2.68,16.67,16.69,0.98,0.51,16.69,0.52,30.0,31.9,48.023,42,e00fce68f8f5a1da595c7249,2023-04-27 01:42:02.495000+00:00,2023-04-27T01:42:02.745Z,2023-04-27T01:42:02.745Z
D1jIFoGZKN,MOOSPMPSParser,1682559961,4.87,4.87,2.62,5.94,5.94,2.96,3.12,6.61,6.61,3.2,1093.33,305.64,38660.25,24.36,20.61,1.53,20.85,20.89,0.83,0.66,20.89,0.51,29.5,32.5,43.32,42,e00fce68a145996ae3d821b8,2023-04-27 01:46:01.056000+00:00,2023-04-27T01:46:01.364Z,2023-04-27T01:46:01.364Z
ptoHxj8JXy,MOOSPMPSParser,1682560320,2.68,2.68,2.24,3.94,3.94,2.61,2.8,4.4,4.4,2.9,937.8,238.46,4831.42,26.89,17.58,2.16,17.86,17.9,0.6,0.23,17.9,0.57,29.6,33.4,47.846,42,e00fce68f8f5a1da595c7249,2023-04-27 01:52:02.742000+00:00,2023-04-27T01:52:02.931Z,2023-04-27T01:52:02.931Z
IbhdGlqjIr,MOOSPMPSParser,1682560561,5.05,5.05,3.94,6.17,6.17,5.53,6.66,7.03,7.03,7.22,1109.57,313.46,38878.62,25.02,29.81,2.01,31.24,31.45,1.06,0.7,31.47,0.65,29.1,34.5,40.33,42,e00fce68a145996ae3d821b8,2023-04-27 01:56:00.885000+00:00,2023-04-27T01:56:01.093Z,2023-04-27T01:56:01.093Z
