objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
gwYDQm6mAy,MOOSPMPSParser,1657584360,5.03,5.03,2.77,7.41,0.61,2.93,2.93,7.8,0.64,2.93,1072.19,295.25,394.6,40.97,22.03,4.32,22.1,22.11,0.6,0.26,22.11,0.41,27.8,41.4,54.483,42,e00fce68f8f5a1da595c7249,2022-07-12 00:06:02.391000+00:00,2022-07-12T00:06:02.640Z,2022-07-12T00:06:02.640Z
HTzAAKKZJW,MOOSPMPSParser,1657584540,5.08,5.08,3.18,6.5,0.65,3.37,3.37,6.87,0.68,3.37,1296.3,336.88,1168.56,35.52,25.33,2.1,25.4,25.41,0.48,0.08,25.41,0.43,28.7,39.9,21.36,42,e00fce6835b6173deb1a1f49,2022-07-12 00:09:02.189000+00:00,2022-07-12T00:09:02.412Z,2022-07-12T00:09:02.412Z
z62Bgl69KS,MOOSPMPSParser,1657584540,7.0,7.0,3.22,8.19,0.94,3.41,3.41,8.76,0.99,3.41,1528.07,405.79,1219.5,32.26,25.67,1.63,25.73,25.74,0.6,0.42,25.74,0.41,28.8,38.8,25.173,42,e00fce6856818e5885f65487,2022-07-12 00:09:02.277000+00:00,2022-07-12T00:09:02.538Z,2022-07-12T00:09:02.538Z
zZZpGE9jah,MOOSPMPSParser,1657584960,4.67,4.67,2.61,6.51,0.63,2.76,2.76,7.47,0.76,2.76,1030.21,282.73,583.91,39.31,20.78,2.76,20.84,20.85,1.45,0.67,20.85,0.41,27.8,41.1,53.635,42,e00fce68f8f5a1da595c7249,2022-07-12 00:16:02.357000+00:00,2022-07-12T00:16:02.592Z,2022-07-12T00:16:02.592Z
hOPI5jeAdA,MOOSPMPSParser,1657585140,5.1,5.1,2.43,6.56,0.55,2.57,2.57,6.94,0.62,2.57,1317.42,338.29,1370.1,38.58,19.37,1.7,19.42,19.43,0.46,0.17,19.43,0.44,28.9,40.0,21.438,42,e00fce6835b6173deb1a1f49,2022-07-12 00:19:02.189000+00:00,2022-07-12T00:19:02.387Z,2022-07-12T00:19:02.387Z
l2yqhHpTTO,MOOSPMPSParser,1657585140,6.4,6.4,3.19,7.59,0.71,3.37,3.37,7.78,0.71,3.37,1496.35,386.64,1444.72,30.85,25.37,0.95,25.43,25.44,0.21,0.17,25.45,0.42,29.2,38.7,25.691,42,e00fce6856818e5885f65487,2022-07-12 00:19:02.202000+00:00,2022-07-12T00:19:02.501Z,2022-07-12T00:19:02.501Z
4T0qIE6sfG,MOOSPMPSParser,1657585560,4.6,4.6,2.65,6.56,0.71,2.8,2.8,7.21,0.77,2.8,986.95,272.72,756.23,40.51,21.05,2.98,21.12,21.12,0.97,0.35,21.13,0.41,28.1,39.0,52.936,42,e00fce68f8f5a1da595c7249,2022-07-12 00:26:02.438000+00:00,2022-07-12T00:26:02.768Z,2022-07-12T00:26:02.768Z
DJAWZvsEsA,MOOSPMPSParser,1657585740,4.65,4.65,3.26,6.08,0.67,3.45,3.45,6.35,0.72,3.45,1250.51,319.05,1573.31,35.84,25.99,1.71,26.06,26.06,0.44,0.18,26.07,0.45,28.8,39.1,21.517,42,e00fce6835b6173deb1a1f49,2022-07-12 00:29:02.204000+00:00,2022-07-12T00:29:02.392Z,2022-07-12T00:29:02.392Z
12Jju3JAMi,MOOSPMPSParser,1657585740,6.12,6.12,3.43,7.14,0.76,3.63,3.63,7.43,0.79,3.63,1298.22,362.84,1659.82,28.7,27.31,0.86,27.38,27.39,0.39,0.18,27.4,0.43,29.4,37.3,25.605,42,e00fce6856818e5885f65487,2022-07-12 00:29:02.229000+00:00,2022-07-12T00:29:02.416Z,2022-07-12T00:29:02.416Z
sGzBU50tKP,MOOSPMPSParser,1657586160,3.98,3.98,2.32,5.9,0.57,2.46,2.46,6.57,0.69,2.46,947.28,254.88,934.79,38.64,18.49,3.24,18.55,18.55,1.04,0.43,18.56,0.41,28.1,39.7,53.954,42,e00fce68f8f5a1da595c7249,2022-07-12 00:36:02.372000+00:00,2022-07-12T00:36:02.606Z,2022-07-12T00:36:02.606Z
aAG6ktDFqH,MOOSPMPSParser,1657586340,5.82,5.82,2.38,6.66,0.71,2.52,2.52,7.1,0.75,2.52,1171.55,334.48,1858.11,26.02,18.94,1.16,18.99,19.0,0.44,0.27,19.0,0.41,29.6,36.6,26.61,42,e00fce6856818e5885f65487,2022-07-12 00:39:02.277000+00:00,2022-07-12T00:39:02.480Z,2022-07-12T00:39:02.480Z
GeSPs33UGm,MOOSPMPSParser,1657586340,4.09,4.09,2.68,5.44,0.53,2.83,2.83,5.91,0.53,2.83,1167.74,302.28,1755.05,35.24,21.3,1.36,21.36,21.36,0.7,0.09,21.37,0.42,28.8,38.7,21.741,42,e00fce6835b6173deb1a1f49,2022-07-12 00:39:02.189000+00:00,2022-07-12T00:39:02.496Z,2022-07-12T00:39:02.496Z
5PW3sjlaAR,MOOSPMPSParser,1657586760,4.21,4.21,2.56,5.8,0.63,2.71,2.71,6.06,0.69,2.71,902.24,250.56,1101.56,33.86,20.39,1.87,20.45,20.46,0.43,0.0,20.46,0.41,28.0,40.4,53.607,42,e00fce68f8f5a1da595c7249,2022-07-12 00:46:02.390000+00:00,2022-07-12T00:46:02.589Z,2022-07-12T00:46:02.589Z
PCQ9zhBN5T,MOOSPMPSParser,1657586941,5.75,5.75,2.8,6.83,0.68,2.96,2.96,7.29,0.71,2.96,1188.47,338.21,2045.28,28.99,22.31,1.24,22.37,22.38,0.52,0.17,22.38,0.4,29.6,37.6,26.508,42,e00fce6856818e5885f65487,2022-07-12 00:49:02.212000+00:00,2022-07-12T00:49:02.429Z,2022-07-12T00:49:02.429Z
ZCWg6nvXVn,MOOSPMPSParser,1657586940,3.84,3.84,2.28,5.19,0.59,2.41,2.41,5.48,0.59,2.41,1079.46,282.14,1927.24,33.43,18.15,1.62,18.2,18.2,0.39,0.26,18.2,0.44,28.8,40.2,22.056,42,e00fce6835b6173deb1a1f49,2022-07-12 00:49:02.244000+00:00,2022-07-12T00:49:02.462Z,2022-07-12T00:49:02.462Z
G6DXNwxuDl,MOOSPMPSParser,1657587360,4.26,4.26,2.08,5.91,0.62,2.19,2.19,6.41,0.7,2.19,907.01,253.02,1258.98,35.31,16.51,2.81,16.56,16.57,0.8,0.09,16.57,0.4,28.6,40.4,52.713,42,e00fce68f8f5a1da595c7249,2022-07-12 00:56:02.852000+00:00,2022-07-12T00:56:03.074Z,2022-07-12T00:56:03.074Z
mmSh6tuJHh,MOOSPMPSParser,1657587540,4.26,4.26,2.29,5.59,0.57,2.42,2.42,5.84,0.57,2.42,1147.29,297.75,2098.71,33.45,18.23,1.65,18.27,18.28,0.35,0.13,18.28,0.45,28.6,40.1,21.926,42,e00fce6835b6173deb1a1f49,2022-07-12 00:59:02.194000+00:00,2022-07-12T00:59:02.436Z,2022-07-12T00:59:02.436Z
iaLqeTcxA8,MOOSPMPSParser,1657587541,5.73,5.73,2.95,6.71,0.67,3.12,3.12,7.03,0.71,3.12,1169.96,336.99,2241.14,26.54,23.52,0.65,23.58,23.59,0.44,0.26,23.59,0.43,29.0,38.6,26.431,42,e00fce6856818e5885f65487,2022-07-12 00:59:02.196000+00:00,2022-07-12T00:59:02.515Z,2022-07-12T00:59:02.515Z
